42.370, 39.301, 33.564, 25.369, 15.655, 5.0000, 53.749, 102.49, 151.24, 200.00, 185.06, 171.12, 157.21, 145.91, 134.72, 126.86, 119.30, 114.85, 111.12, 109.71
40.835, 37.967, 32.335, 24.609, 15.184, 5.0000, 53.749, 102.49, 151.24, 200.00, 185.56, 171.13, 158.52, 145.96, 136.39, 127.01, 120.86, 115.21, 112.28, 110.42
39.401, 36.585, 31.288, 23.760, 14.804, 5.0000, 53.749, 102.49, 151.24, 200.00, 185.56, 172.04, 158.55, 147.45, 136.49, 128.62, 121.11, 116.57, 112.81, 111.35
37.993, 35.344, 30.172, 23.046, 14.380, 5.0000, 53.749, 102.49, 151.24, 200.00, 186.02, 172.06, 159.74, 147.52, 138.04, 128.80, 122.60, 116.96, 113.96, 112.08
36.669, 34.083, 29.195, 22.276, 14.023, 5.0000, 53.749, 102.49, 151.24, 200.00, 186.03, 172.88, 159.79, 148.89, 138.16, 130.32, 122.88, 118.28, 114.52, 113.02
35.376, 32.932, 28.179, 21.609, 13.638, 5.0000, 53.749, 102.49, 151.24, 200.00, 186.44, 172.91, 160.88, 148.97, 139.60, 130.52, 124.30, 118.70, 115.65, 113.77
34.154, 31.778, 27.271, 20.909, 13.304, 5.0000, 53.749, 102.49, 151.24, 200.00, 186.45, 173.66, 160.94, 150.24, 139.75, 131.95, 124.61, 119.97, 116.24, 114.71
32.966, 30.712, 26.343, 20.287, 12.954, 5.0000, 53.749, 102.49, 151.24, 200.00, 186.83, 173.70, 161.95, 150.34, 141.10, 132.18, 125.96, 120.42, 117.34, 115.47
31.839, 29.654, 25.500, 19.649, 12.643, 5.0000, 53.749, 102.49, 151.24, 200.00, 186.85, 174.39, 162.02, 151.52, 141.26, 133.53, 126.30, 121.65, 117.95, 116.41
30.747, 28.669, 24.652, 19.072, 12.324, 5.0000, 53.749, 102.49, 151.24, 200.00, 187.19, 174.43, 162.96, 151.64, 142.53, 133.78, 127.59, 122.12, 119.03, 117.18
29.708, 27.699, 23.871, 18.488, 12.036, 5.0000, 53.749, 102.49, 151.24, 200.00, 187.21, 175.08, 163.04, 152.74, 142.71, 135.06, 127.95, 123.31, 119.65, 118.10
28.704, 26.789, 23.093, 17.953, 11.744, 5.0000, 53.749, 102.49, 151.24, 200.00, 187.54, 175.12, 163.91, 152.87, 143.90, 135.33, 129.18, 123.80, 120.71, 118.88
27.746, 25.899, 22.371, 17.419, 11.476, 5.0000, 53.749, 102.49, 151.24, 200.00, 187.56, 175.72, 164.00, 153.90, 144.10, 136.54, 129.57, 124.94, 121.34, 119.79
26.822, 25.059, 21.659, 16.924, 11.209, 5.0000, 53.749, 102.49, 151.24, 200.00, 187.86, 175.78, 164.81, 154.05, 145.22, 136.83, 130.74, 125.45, 122.37, 120.57
25.941, 24.241, 20.991, 16.434, 10.962, 5.0000, 53.749, 102.49, 151.24, 200.00, 187.89, 176.34, 164.92, 155.02, 145.44, 137.98, 131.14, 126.56, 123.01, 121.47
25.091, 23.466, 20.337, 15.976, 10.717, 5.0000, 53.749, 102.49, 151.24, 200.00, 188.17, 176.40, 165.68, 155.18, 146.50, 138.29, 132.27, 127.08, 124.01, 122.24
24.278, 22.714, 19.721, 15.527, 10.488, 5.0000, 53.749, 102.49, 151.24, 200.00, 188.20, 176.92, 165.79, 156.09, 146.74, 139.39, 132.68, 128.14, 124.66, 123.12
23.496, 22.000, 19.120, 15.105, 10.263, 5.0000, 53.750, 102.49, 151.25, 200.00, 188.46, 176.99, 166.50, 156.26, 147.74, 139.71, 133.76, 128.67, 125.63, 123.89
22.748, 21.308, 18.552, 14.692, 10.052, 5.0000, 53.750, 102.50, 151.25, 200.00, 188.49, 177.48, 166.63, 157.12, 147.99, 140.75, 134.19, 129.70, 126.28, 124.76
22.028, 20.650, 18.000, 14.302, 9.8461, 5.0000, 53.750, 102.50, 151.25, 200.00, 188.74, 177.56, 167.30, 157.31, 148.94, 141.09, 135.22, 130.24, 127.23, 125.52
21.339, 20.014, 17.476, 13.923, 9.6513, 5.0000, 53.750, 102.50, 151.25, 200.00, 188.78, 178.02, 167.43, 158.12, 149.20, 142.08, 135.66, 131.23, 127.88, 126.38
20.677, 19.408, 16.968, 13.563, 9.4616, 5.0000, 53.750, 102.50, 151.25, 200.00, 189.01, 178.11, 168.07, 158.32, 150.10, 142.43, 136.65, 131.77, 128.80, 127.13
20.042, 18.822, 16.486, 13.215, 9.2819, 5.0000, 53.750, 102.50, 151.25, 200.00, 189.05, 178.54, 168.21, 159.08, 150.37, 143.38, 137.10, 132.73, 129.45, 127.96
